"filename", "language", "CSS", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\package-lock.json", "JSON", 0, 0, 36698, 0, 0, 0, 1, 36699
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\package.json", "JSON", 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\public\index.html", "HTML", 0, 0, 0, 0, 20, 13, 1, 34
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\App\App.module.css", "CSS", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\App\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\App\index.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\EditableTitle\EditableTitle.module.css", "CSS", 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\EditableTitle\index.js", "JavaScript", 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\EducationCard\EducationCard.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\EducationCard\index.js", "JavaScript", 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\Education\Education.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\Education\index.js", "JavaScript", 0, 37, 0, 0, 0, 0, 7, 44
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\ExperienceCard\ExperienceCard.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\ExperienceCard\index.js", "JavaScript", 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\Experience\Experience.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\Experience\index.js", "JavaScript", 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\LabelledInput\LabelledInput.module.css", "CSS", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\LabelledInput\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\NameInput\NameInput.module.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\NameInput\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\PersonalInfo\PersonalInfo.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\PersonalInfo\index.js", "JavaScript", 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\Resume\Resume.module.css", "CSS", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\Resume\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\SectionCard\SectionCard.module.css", "CSS", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\SectionCard\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\StartEndDate\StartEndDate.module.css", "CSS", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\components\StartEndDate\index.js", "JavaScript", 0, 99, 0, 0, 0, 1, 10, 110
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\data.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\index.css", "CSS", 56, 0, 0, 0, 0, 0, 13, 69
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\alexgamadev\Desktop\Web Dev\React\cv-application\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 122, 423, 36763, 38, 20, 21, 132, 37519
